Microsoft Corporation	    Ticker = 	MSFT
Apple Inc.	    Ticker = 	AAPL
Amazon.com Inc.	    Ticker = 	AMZN
Facebook Inc. Class A	    Ticker = 	FB
Berkshire Hathaway Inc. Class B	    Ticker = 	BRK.B
JPMorgan Chase & Co.	    Ticker = 	JPM
Alphabet Inc. Class C	    Ticker = 	GOOG
Alphabet Inc. Class A	    Ticker = 	GOOGL
Johnson & Johnson	    Ticker = 	JNJ
Visa Inc. Class A	    Ticker = 	V
Exxon Mobil Corporation	    Ticker = 	XOM
Procter & Gamble Company	    Ticker = 	PG
AT&T Inc.	    Ticker = 	T
Bank of America Corp	    Ticker = 	BAC
Home Depot Inc.	    Ticker = 	HD
Intel Corporation	    Ticker = 	INTC
Verizon Communications Inc.	    Ticker = 	VZ
Mastercard Incorporated Class A	    Ticker = 	MA
UnitedHealth Group Incorporated	    Ticker = 	UNH
Walt Disney Company	    Ticker = 	DIS
Chevron Corporation	    Ticker = 	CVX
Wells Fargo & Company	    Ticker = 	WFC
Merck & Co. Inc.	    Ticker = 	MRK
Pfizer Inc.	    Ticker = 	PFE
Cisco Systems Inc.	    Ticker = 	CSCO
Coca-Cola Company	    Ticker = 	KO
Comcast Corporation Class A	    Ticker = 	CMCSA
Boeing Company	    Ticker = 	BA
PepsiCo Inc.	    Ticker = 	PEP
Walmart Inc.	    Ticker = 	WMT
Citigroup Inc.	    Ticker = 	C
McDonald's Corporation	    Ticker = 	MCD
Abbott Laboratories	    Ticker = 	ABT
Medtronic Plc	    Ticker = 	MDT
Adobe Inc.	    Ticker = 	ADBE
salesforce.com inc.	    Ticker = 	CRM
Costco Wholesale Corporation	    Ticker = 	COST
Philip Morris International Inc.	    Ticker = 	PM
Honeywell International Inc.	    Ticker = 	HON
Amgen Inc.	    Ticker = 	AMGN
Netflix Inc.	    Ticker = 	NFLX
NVIDIA Corporation	    Ticker = 	NVDA
Broadcom Inc.	    Ticker = 	AVGO
Union Pacific Corporation	    Ticker = 	UNP
International Business Machines Corporation	    Ticker = 	IBM
Oracle Corporation	    Ticker = 	ORCL
AbbVie Inc.	    Ticker = 	ABBV
Accenture Plc Class A	    Ticker = 	ACN
United Technologies Corporation	    Ticker = 	UTX
PayPal Holdings Inc	    Ticker = 	PYPL
Thermo Fisher Scientific Inc.	    Ticker = 	TMO
Texas Instruments Incorporated	    Ticker = 	TXN
NIKE Inc. Class B	    Ticker = 	NKE
NextEra Energy Inc.	    Ticker = 	NEE
Linde plc	    Ticker = 	LIN
QUALCOMM Incorporated	    Ticker = 	QCOM
3M Company	    Ticker = 	MMM
Starbucks Corporation	    Ticker = 	SBUX
Eli Lilly and Company	    Ticker = 	LLY
General Electric Company	    Ticker = 	GE
Lockheed Martin Corporation	    Ticker = 	LMT
Bristol-Myers Squibb Company	    Ticker = 	BMY
CVS Health Corporation	    Ticker = 	CVS
American Tower Corporation	    Ticker = 	AMT
Lowe's Companies Inc.	    Ticker = 	LOW
Danaher Corporation	    Ticker = 	DHR
Altria Group Inc	    Ticker = 	MO
Booking Holdings Inc.	    Ticker = 	BKNG
United Parcel Service Inc. Class B	    Ticker = 	UPS
U.S. Bancorp	    Ticker = 	USB
Gilead Sciences Inc.	    Ticker = 	GILD
Caterpillar Inc.	    Ticker = 	CAT
American Express Company	    Ticker = 	AXP
Fidelity National Information Services Inc.	    Ticker = 	FIS
Celgene Corporation	    Ticker = 	CELG
Charter Communications Inc. Class A	    Ticker = 	CHTR
Mondelez International Inc. Class A	    Ticker = 	MDLZ
TJX Companies Inc	    Ticker = 	TJX
Anthem Inc.	    Ticker = 	ANTM
CME Group Inc. Class A	    Ticker = 	CME
Goldman Sachs Group Inc.	    Ticker = 	GS
Chubb Limited	    Ticker = 	CB
Automatic Data Processing Inc.	    Ticker = 	ADP
Cigna Corporation	    Ticker = 	CI
Duke Energy Corporation	    Ticker = 	DUK
PNC Financial Services Group Inc.	    Ticker = 	PNC
Becton Dickinson and Company	    Ticker = 	BDX
Dominion Energy Inc	    Ticker = 	D
Intuit Inc.	    Ticker = 	INTU
Southern Company	    Ticker = 	SO
Stryker Corporation	    Ticker = 	SYK
ConocoPhillips	    Ticker = 	COP
Intuitive Surgical Inc.	    Ticker = 	ISRG
S&P Global Inc.	    Ticker = 	SPGI
Morgan Stanley	    Ticker = 	MS
Raytheon Company	    Ticker = 	RTN
Fiserv Inc.	    Ticker = 	FISV
CSX Corporation	    Ticker = 	CSX
Allergan plc	    Ticker = 	AGN
Zoetis Inc. Class A	    Ticker = 	ZTS
BlackRock Inc.	    Ticker = 	BLK
Colgate-Palmolive Company	    Ticker = 	CL
Target Corporation	    Ticker = 	TGT
Boston Scientific Corporation	    Ticker = 	BSX
Crown Castle International Corp	    Ticker = 	CCI
Deere & Company	    Ticker = 	DE
Prologis Inc.	    Ticker = 	PLD
Northrop Grumman Corporation	    Ticker = 	NOC
Biogen Inc.	    Ticker = 	BIIB
Phillips 66	    Ticker = 	PSX
Micron Technology Inc.	    Ticker = 	MU
DuPont de Nemours Inc.	    Ticker = 	DD
Marsh & McLennan Companies Inc.	    Ticker = 	MMC
Illinois Tool Works Inc.	    Ticker = 	ITW
Applied Materials Inc.	    Ticker = 	AMAT
Intercontinental Exchange Inc.	    Ticker = 	ICE
Norfolk Southern Corporation	    Ticker = 	NSC
Vertex Pharmaceuticals Incorporated	    Ticker = 	VRTX
Global Payments Inc.	    Ticker = 	GPN
Charles Schwab Corporation	    Ticker = 	SCHW
Edwards Lifesciences Corporation	    Ticker = 	EW
Schlumberger NV	    Ticker = 	SLB
Ecolab Inc.	    Ticker = 	ECL
General Motors Company	    Ticker = 	GM
American International Group Inc.	    Ticker = 	AIG
Air Products and Chemicals Inc.	    Ticker = 	APD
Simon Property Group Inc.	    Ticker = 	SPG
Sherwin-Williams Company	    Ticker = 	SHW
Aon plc	    Ticker = 	AON
Capital One Financial Corporation	    Ticker = 	COF
Kimberly-Clark Corporation	    Ticker = 	KMB
Walgreens Boots Alliance Inc	    Ticker = 	WBA
Equinix Inc.	    Ticker = 	EQIX
American Electric Power Company Inc.	    Ticker = 	AEP
Emerson Electric Co.	    Ticker = 	EMR
L3Harris Technologies Inc	    Ticker = 	LHX
